ID,Origin,Destination,Type,Capacity,,Flow,,,,SUE,DUE,SUE_Rounded,,ARC-DUE,SUE-DUE,,(ARC-DUE)/DUE
1,1,547,3,49500,0,4980,0,0,,4989.13,4989.12999999994,4980,,-9.12999999994008,0,,-0.00182997837297088
2,2,548,3,49500,0,6709,0,0,,6719.41,6719.40999999993,6709,,-10.4099999999298,0,,-0.00154924316270773
3,3,549,3,49500,0,10089,0,0,,10095.53,10095.5299999999,10089,,-6.52999999990061,0,,-0.000646820919743755
4,4,550,3,49500,0,9440,0,0,,9444.62,9444.61999999999,9440,,-4.61999999998989,0,,-0.000489167377828848
5,5,551,3,49500,0,17209,0,0,,17223.82,17223.82,17209,,-14.8199999999997,0,,-0.000860436302748154
6,6,552,3,49500,0,6437,0,0,,6446.03,6446.02999999999,6437,,-9.02999999998974,0,,-0.00140086223613445
7,7,553,3,49500,0,9874,0,0,,9884.28,9884.28000000003,9874,,-10.2800000000298,0,,-0.00104003528835987
8,8,554,3,49500,0,9244,0,0,,9252.3,9252.29999999999,9244,,-8.29999999999018,0,,-0.000897074240998475
9,9,555,3,49500,0,6687,0,0,,6699.45,6699.44999999998,6687,,-12.4499999999798,0,,-0.0018583615072849
10,10,556,3,49500,0,13808,0,0,,13823.65,13823.65,13808,,-15.6499999999996,0,,-0.00113211778365335
11,11,557,3,49500,0,10540,0,0,,10551.06,10551.06,10540,,-11.0599999999995,0,,-0.00104823591184198
12,12,558,3,49500,0,6983,0,0,,6985.78,6985.78000000003,6983,,-2.78000000002976,0,,-0.000397951266720359
13,13,559,3,49500,0,9396,0,0,,9401.48,9401.47999999998,9396,,-5.47999999997956,0,,-0.000582886949712127
14,14,560,3,49500,0,14755,0,0,,14763.69,14763.6899999999,14755,,-8.68999999990047,0,,-0.000588606235968144
15,15,561,3,49500,0,8927,0,0,,8934.72,8934.72000000003,8927,,-7.72000000003027,0,,-0.00086404498406556
16,16,562,3,49500,0,10289,0,0,,10301.01,10301.01,10289,,-12.0100000000002,0,,-0.00116590509086004
17,17,563,3,49500,0,9095,0,0,,9098.55,9098.55000000002,9095,,-3.55000000001928,0,,-0.000390172060385366
18,18,564,3,49500,0,9292,0,0,,9300.74,9300.73999999999,9292,,-8.73999999999069,0,,-0.00093971017359809
19,19,565,3,49500,0,2619,0,0,,2624.61,2624.61000000002,2619,,-5.61000000002014,0,,-0.00213746042269903
20,20,566,3,49500,0,7690,0,0,,7707.95,7707.95000000004,7690,,-17.9500000000398,0,,-0.00232876445748088
21,21,567,3,49500,0,4686,0,0,,4696.17,4696.16999999998,4686,,-10.1699999999801,0,,-0.00216559451637826
22,22,568,3,49500,0,3361,0,0,,3370.82,3370.82000000004,3361,,-9.82000000004018,0,,-0.00291323772851712
23,23,569,3,49500,0,12661,0,0,,12667.83,12667.8299999999,12661,,-6.82999999989988,0,,-0.000539161008625782
24,24,570,3,49500,0,6004,0,0,,6010.92,6010.92000000006,6004,,-6.9200000000601,0,,-0.00115123808003767
25,25,571,3,49500,0,5978,0,0,,5993.21,5993.21,5978,,-15.21,0,,-0.00253787202517516
26,26,572,3,49500,0,12922,0,0,,12936.83,12936.83,12922,,-14.8299999999999,0,,-0.00114633955922741
27,27,573,3,49500,0,7742,0,0,,7749.49,7749.49000000001,7742,,-7.49000000000979,0,,-0.000966515215841272
28,28,574,3,49500,0,8693,0,0,,8700.36,8700.36,8693,,-7.36000000000058,0,,-0.000845942006997479
29,29,575,3,49500,0,14575,0,0,,14581.24,14581.2399999999,14575,,-6.23999999989974,0,,-0.000427947143034459
30,30,576,3,49500,0,5405,0,0,,5416.97,5416.97000000003,5405,,-11.9700000000303,0,,-0.0022097224093968
31,31,577,3,49500,0,7825,0,0,,7838.86,7838.86000000004,7825,,-13.8600000000397,0,,-0.00176811424110644
32,32,578,3,49500,0,7891,0,0,,7900.65,7900.65,7891,,-9.64999999999964,0,,-0.00122141849088362
33,33,579,3,49500,0,4719,0,0,,4727.45,4727.44999999997,4719,,-8.44999999996981,0,,-0.0017874329712572
34,34,580,3,49500,0,6454,0,0,,6460.14,6460.14000000008,6454,,-6.14000000008036,0,,-0.000950443798444041
35,35,581,3,49500,0,5138,0,0,,5145.61,5145.61000000007,5138,,-7.6100000000697,0,,-0.0014789305835595
36,36,582,3,49500,0,6099,0,0,,6100.87,6100.87000000004,6099,,-1.87000000003991,0,,-0.000306513661172898
37,37,583,3,49500,0,1141,0,0,,1148.81,1148.80999999996,1141,,-7.80999999995993,0,,-0.00679833915091286
