ID,Origin,Destination,Type,Capacity,,Flow,,,,SUE,DUE,SUE_Rounded,,ARC-DUE,SUE-DUE,,(ARC-DUE)/DUE
1,1,547,3,49500,0,4980,0,0,,4989.13,4989.12999999994,4980,,=G2-L2,=G2-M2,,=O2/L2
2,2,548,3,49500,0,6709,0,0,,6719.41,6719.40999999993,6709,,=G3-L3,=G3-M3,,=O3/L3
3,3,549,3,49500,0,10089,0,0,,10095.53,10095.5299999999,10089,,=G4-L4,=G4-M4,,=O4/L4
4,4,550,3,49500,0,9440,0,0,,9444.62,9444.61999999999,9440,,=G5-L5,=G5-M5,,=O5/L5
5,5,551,3,49500,0,17209,0,0,,17223.82,17223.82,17209,,=G6-L6,=G6-M6,,=O6/L6
6,6,552,3,49500,0,6437,0,0,,6446.03,6446.02999999999,6437,,=G7-L7,=G7-M7,,=O7/L7
7,7,553,3,49500,0,9874,0,0,,9884.28,9884.28000000003,9874,,=G8-L8,=G8-M8,,=O8/L8
8,8,554,3,49500,0,9244,0,0,,9252.3,9252.29999999999,9244,,=G9-L9,=G9-M9,,=O9/L9
9,9,555,3,49500,0,6687,0,0,,6699.45,6699.44999999998,6687,,=G10-L10,=G10-M10,,=O10/L10
10,10,556,3,49500,0,13808,0,0,,13823.65,13823.65,13808,,=G11-L11,=G11-M11,,=O11/L11
11,11,557,3,49500,0,10540,0,0,,10551.06,10551.06,10540,,=G12-L12,=G12-M12,,=O12/L12
12,12,558,3,49500,0,6983,0,0,,6985.78,6985.78000000003,6983,,=G13-L13,=G13-M13,,=O13/L13
13,13,559,3,49500,0,9396,0,0,,9401.48,9401.47999999998,9396,,=G14-L14,=G14-M14,,=O14/L14
14,14,560,3,49500,0,14755,0,0,,14763.69,14763.6899999999,14755,,=G15-L15,=G15-M15,,=O15/L15
15,15,561,3,49500,0,8927,0,0,,8934.72,8934.72000000003,8927,,=G16-L16,=G16-M16,,=O16/L16
16,16,562,3,49500,0,10289,0,0,,10301.01,10301.01,10289,,=G17-L17,=G17-M17,,=O17/L17
17,17,563,3,49500,0,9095,0,0,,9098.55,9098.55000000002,9095,,=G18-L18,=G18-M18,,=O18/L18
18,18,564,3,49500,0,9292,0,0,,9300.74,9300.73999999999,9292,,=G19-L19,=G19-M19,,=O19/L19
19,19,565,3,49500,0,2619,0,0,,2624.61,2624.61000000002,2619,,=G20-L20,=G20-M20,,=O20/L20
20,20,566,3,49500,0,7690,0,0,,7707.95,7707.95000000004,7690,,=G21-L21,=G21-M21,,=O21/L21
21,21,567,3,49500,0,4686,0,0,,4696.17,4696.16999999998,4686,,=G22-L22,=G22-M22,,=O22/L22
22,22,568,3,49500,0,3361,0,0,,3370.82,3370.82000000004,3361,,=G23-L23,=G23-M23,,=O23/L23
23,23,569,3,49500,0,12661,0,0,,12667.83,12667.8299999999,12661,,=G24-L24,=G24-M24,,=O24/L24
24,24,570,3,49500,0,6004,0,0,,6010.92,6010.92000000006,6004,,=G25-L25,=G25-M25,,=O25/L25
25,25,571,3,49500,0,5978,0,0,,5993.21,5993.21,5978,,=G26-L26,=G26-M26,,=O26/L26
26,26,572,3,49500,0,12922,0,0,,12936.83,12936.83,12922,,=G27-L27,=G27-M27,,=O27/L27
27,27,573,3,49500,0,7742,0,0,,7749.49,7749.49000000001,7742,,=G28-L28,=G28-M28,,=O28/L28
28,28,574,3,49500,0,8693,0,0,,8700.36,8700.36,8693,,=G29-L29,=G29-M29,,=O29/L29
29,29,575,3,49500,0,14575,0,0,,14581.24,14581.2399999999,14575,,=G30-L30,=G30-M30,,=O30/L30
30,30,576,3,49500,0,5405,0,0,,5416.97,5416.97000000003,5405,,=G31-L31,=G31-M31,,=O31/L31
31,31,577,3,49500,0,7825,0,0,,7838.86,7838.86000000004,7825,,=G32-L32,=G32-M32,,=O32/L32
32,32,578,3,49500,0,7891,0,0,,7900.65,7900.65,7891,,=G33-L33,=G33-M33,,=O33/L33
33,33,579,3,49500,0,4719,0,0,,4727.45,4727.44999999997,4719,,=G34-L34,=G34-M34,,=O34/L34
34,34,580,3,49500,0,6454,0,0,,6460.14,6460.14000000008,6454,,=G35-L35,=G35-M35,,=O35/L35
35,35,581,3,49500,0,5138,0,0,,5145.61,5145.61000000007,5138,,=G36-L36,=G36-M36,,=O36/L36
36,36,582,3,49500,0,6099,0,0,,6100.87,6100.87000000004,6099,,=G37-L37,=G37-M37,,=O37/L37
37,37,583,3,49500,0,1141,0,0,,1148.81,1148.80999999996,1141,,=G38-L38,=G38-M38,,=O38/L38
38,38,584,3,49500,0,2224,0,0,,2228.48,2228.47999999998,2224,,=G39-L39,=G39-M39,,=O39/L39
39,39,585,3,49500,0,6727,0,0,,6737.86,6737.86000000004,6727,,=G40-L40,=G40-M40,,=O40/L40
40,40,586,3,49500,0,1860,0,0,,1866.66,1866.66000000005,1860,,=G41-L41,=G41-M41,,=O41/L41
41,41,587,3,49500,0,8055,0,0,,8069.74,8069.74000000001,8055,,=G42-L42,=G42-M42,,=O42/L42
42,42,588,3,49500,0,2109,0,0,,2120.7,2120.69999999999,2109,,=G43-L43,=G43-M43,,=O43/L43
43,43,589,3,49500,0,5252,0,0,,5257.64,5257.63999999997,5252,,=G44-L44,=G44-M44,,=O44/L44
44,44,590,3,49500,0,7111,0,0,,7128.54,7128.54,7111,,=G45-L45,=G45-M45,,=O45/L45
45,45,591,3,49500,0,6223,0,0,,6238.19,6238.19000000002,6223,,=G46-L46,=G46-M46,,=O46/L46
46,46,592,3,49500,0,6548,0,0,,6568.32,6568.32000000002,6548,,=G47-L47,=G47-M47,,=O47/L47
47,47,593,3,49500,0,2889,0,0,,2892.16,2892.15999999998,2889,,=G48-L48,=G48-M48,,=O48/L48
48,48,594,3,49500,0,4971,0,0,,4978.07,4978.07000000004,4971,,=G49-L49,=G49-M49,,=O49/L49
49,49,595,3,49500,0,3486,0,0,,3495.58,3495.58,3486,,=G50-L50,=G50-M50,,=O50/L50
50,50,596,3,49500,0,4748,0,0,,4758,4758,4748,,=G51-L51,=G51-M51,,=O51/L51
51,51,597,3,49500,0,1567,0,0,,1577.3,1577.30000000003,1567,,=G52-L52,=G52-M52,,=O52/L52
52,52,598,3,49500,0,2035,0,0,,2041.28,2041.28,2035,,=G53-L53,=G53-M53,,=O53/L53
53,53,599,3,49500,0,4654,0,0,,4665.33,4665.32999999994,4654,,=G54-L54,=G54-M54,,=O54/L54
54,54,600,3,49500,0,1251,0,0,,1259.87,1259.86999999995,1251,,=G55-L55,=G55-M55,,=O55/L55
55,55,601,3,49500,0,1764,0,0,,1778.42,1778.41999999998,1764,,=G56-L56,=G56-M56,,=O56/L56
56,56,602,3,49500,0,4289,0,0,,4297.13,4297.13000000005,4289,,=G57-L57,=G57-M57,,=O57/L57
57,57,603,3,49500,0,1636,0,0,,1646.85,1646.84999999999,1636,,=G58-L58,=G58-M58,,=O58/L58
58,58,604,3,49500,0,5945,0,0,,5962.5,5962.5,5945,,=G59-L59,=G59-M59,,=O59/L59
59,59,605,3,49500,0,5214,0,0,,5225.8,5225.80000000001,5214,,=G60-L60,=G60-M60,,=O60/L60
60,60,606,3,49500,0,5137,0,0,,5148.46,5148.46000000002,5137,,=G61-L61,=G61-M61,,=O61/L61
61,61,607,3,49500,0,5258,0,0,,5264.46,5264.46000000002,5258,,=G62-L62,=G62-M62,,=O62/L62
62,62,608,3,49500,0,5462,0,0,,5472.5,5472.50000000006,5462,,=G63-L63,=G63-M63,,=O63/L63
63,63,609,3,49500,0,3707,0,0,,3718.92,3718.92000000001,3707,,=G64-L64,=G64-M64,,=O64/L64
64,64,610,3,49500,0,9091,0,0,,9104.31,9104.30999999996,9091,,=G65-L65,=G65-M65,,=O65/L65
65,65,611,3,49500,0,3457,0,0,,3468.09,3468.08999999998,3457,,=G66-L66,=G66-M66,,=O66/L66
66,66,612,3,49500,0,6186,0,0,,6193.35,6193.35000000001,6186,,=G67-L67,=G67-M67,,=O67/L67
67,67,613,3,49500,0,3845,0,0,,3858.59,3858.58999999994,3845,,=G68-L68,=G68-M68,,=O68/L68
68,68,614,3,49500,0,6520,0,0,,6526.75,6526.74999999992,6520,,=G69-L69,=G69-M69,,=O69/L69
69,69,615,3,49500,0,6262,0,0,,6270.57,6270.56999999999,6262,,=G70-L70,=G70-M70,,=O70/L70
70,70,616,3,49500,0,4469,0,0,,4480.42,4480.42000000001,4469,,=G71-L71,=G71-M71,,=O71/L71
71,71,617,3,49500,0,3973,0,0,,3979.92,3979.91999999999,3973,,=G72-L72,=G72-M72,,=O72/L72
72,72,618,3,49500,0,7288,0,0,,7296.66,7296.66,7288,,=G73-L73,=G73-M73,,=O73/L73
73,73,619,3,49500,0,7664,0,0,,7675.9,7675.90000000006,7664,,=G74-L74,=G74-M74,,=O74/L74
74,74,620,3,49500,0,2635,0,0,,2642.72,2642.72000000001,2635,,=G75-L75,=G75-M75,,=O75/L75
75,75,621,3,49500,0,2677,0,0,,2685.23,2685.23000000006,2677,,=G76-L76,=G76-M76,,=O76/L76
76,76,622,3,49500,0,5952,0,0,,5958.85,5958.85000000002,5952,,=G77-L77,=G77-M77,,=O77/L77
77,77,623,3,49500,0,7995,0,0,,7998.54,7998.54000000001,7995,,=G78-L78,=G78-M78,,=O78/L78
78,78,624,3,49500,0,6819,0,0,,6831.44,6831.44000000003,6819,,=G79-L79,=G79-M79,,=O79/L79
79,79,625,3,49500,0,3831,0,0,,3838.33,3838.33000000003,3831,,=G80-L80,=G80-M80,,=O80/L80
80,80,626,3,49500,0,10307,0,0,,10315.78,10315.7799999999,10307,,=G81-L81,=G81-M81,,=O81/L81
81,81,627,3,49500,0,8342,0,0,,8352.05,8352.05000000005,8342,,=G82-L82,=G82-M82,,=O82/L82
82,82,628,3,49500,0,5765,0,0,,5765.21,5765.21000000002,5765,,=G83-L83,=G83-M83,,=O83/L83
83,83,629,3,49500,0,4279,0,0,,4294.91,4294.90999999995,4279,,=G84-L84,=G84-M84,,=O84/L84
84,84,630,3,49500,0,6425,0,0,,6438.08,6438.07999999997,6425,,=G85-L85,=G85-M85,,=O85/L85
85,85,631,3,49500,0,13274,0,0,,13283.46,13283.46,13274,,=G86-L86,=G86-M86,,=O86/L86
86,86,632,3,49500,0,5282,0,0,,5293.37,5293.36999999994,5282,,=G87-L87,=G87-M87,,=O87/L87
87,87,633,3,49500,0,5963,0,0,,5977.54,5977.54,5963,,=G88-L88,=G88-M88,,=O88/L88
88,88,634,3,49500,0,4574,0,0,,4579.16,4579.16,4574,,=G89-L89,=G89-M89,,=O89/L89
89,89,635,3,49500,0,2365,0,0,,2370.39,2370.39000000006,2365,,=G90-L90,=G90-M90,,=O90/L90
90,90,636,3,49500,0,2196,0,0,,2212.55,2212.55000000006,2196,,=G91-L91,=G91-M91,,=O91/L91
91,91,637,3,49500,0,7071,0,0,,7079.22,7079.22000000003,7071,,=G92-L92,=G92-M92,,=O92/L92
92,92,638,3,49500,0,1731,0,0,,1746.5,1746.50000000004,1731,,=G93-L93,=G93-M93,,=O93/L93
93,93,639,3,49500,0,4357,0,0,,4363.86,4363.86000000004,4357,,=G94-L94,=G94-M94,,=O94/L94
94,94,640,3,49500,0,464,0,0,,471.02,471.019999999989,464,,=G95-L95,=G95-M95,,=O95/L95
95,95,641,3,49500,0,2739,0,0,,2752.81,2752.80999999998,2739,,=G96-L96,=G96-M96,,=O96/L96
96,96,642,3,49500,0,581,0,0,,587.41,587.41000000001,581,,=G97-L97,=G97-M97,,=O97/L97
97,97,643,3,49500,0,6289,0,0,,6304.83,6304.82999999999,6289,,=G98-L98,=G98-M98,,=O98/L98
98,98,644,3,49500,0,8427,0,0,,8436.92,8436.92000000006,8427,,=G99-L99,=G99-M99,,=O99/L99
99,99,645,3,49500,0,4520,0,0,,4527.16,4527.15999999999,4520,,=G100-L100,=G100-M100,,=O100/L100
100,100,646,3,49500,0,3581,0,0,,3592.63,3592.63000000004,3581,,=G101-L101,=G101-M101,,=O101/L101
101,101,647,3,49500,0,3134,0,0,,3144.71,3144.70999999999,3134,,=G102-L102,=G102-M102,,=O102/L102
102,102,648,3,49500,0,3673,0,0,,3681.72,3681.72,3673,,=G103-L103,=G103-M103,,=O103/L103
103,103,649,3,49500,0,1738,0,0,,1743.13,1743.13000000001,1738,,=G104-L104,=G104-M104,,=O104/L104
104,104,650,3,49500,0,3092,0,0,,3100.18,3100.18,3092,,=G105-L105,=G105-M105,,=O105/L105
105,105,651,3,49500,0,976,0,0,,983.63,983.630000000011,976,,=G106-L106,=G106-M106,,=O106/L106
